DATE,REVOLNS
2011-06-01,800.15625
2011-07-01,801.45659
2011-08-01,806.96157
2011-09-01,805.08369
2011-10-01,804.50514
2011-11-01,817.61792
2011-12-01,840.16423
2012-01-01,819.5638
2012-02-01,803.98046
2012-03-01,796.25331
2012-04-01,794.43711
2012-05-01,803.6255
2012-06-01,802.31703
2012-07-01,802.07432
2012-08-01,812.16985
2012-09-01,807.89464
2012-10-01,810.22114
2012-11-01,820.29616
2012-12-01,839.98084
2013-01-01,822.35007
2013-02-01,807.44803
2013-03-01,799.28104
2013-04-01,802.17691
2013-05-01,812.02415
2013-06-01,812.59857
2013-07-01,814.29078
2013-08-01,820.82591
2013-09-01,817.78497
2013-10-01,820.99738
2013-11-01,827.57906
2013-12-01,854.1388
2014-01-01,835.92196
2014-02-01,819.48121
2014-03-01,814.29719
2014-04-01,824.7375
2014-05-01,833.80069
2014-06-01,836.1313
2014-07-01,842.57338
2014-08-01,849.52868
2014-09-01,846.72683
2014-10-01,849.06371
2014-11-01,858.37483
2014-12-01,887.38164
2015-01-01,855.07573
2015-02-01,836.14822
2015-03-01,835.8393
2015-04-01,845.84467
2015-05-01,854.50955
2015-06-01,862.63556
2015-07-01,867.91038
2015-08-01,876.95056
2015-09-01,879.63431
2015-10-01,882.10252
2015-11-01,896.83372
2015-12-01,898.08265
2016-01-01,877.80741
2016-02-01,859.22036
2016-03-01,863.96934
2016-04-01,871.13536
2016-05-01,881.59351
2016-06-01,892.04552
2016-07-01,896.85272
2016-08-01,907.74691
2016-09-01,908.01012
2016-10-01,910.70586
2016-11-01,933.79584
2016-12-01,960.09549
2017-01-01,937.61203
2017-02-01,921.22356
2017-03-01,917.8865
2017-04-01,922.67262
2017-05-01,935.9364
2017-06-01,942.56448
2017-07-01,944.78588
2017-08-01,955.21601
2017-09-01,957.01659
2017-10-01,967.72818
2017-11-01,992.24194
2017-12-01,1016.80667
2018-01-01,996.11025
2018-02-01,976.89032
2018-03-01,971.49148
2018-04-01,969.54117
2018-05-01,983.18099
2018-06-01,983.67932
2018-07-01,993.35053
2018-08-01,1005.31202
2018-09-01,1003.39155
2018-10-01,1012.63773
2018-11-01,1033.46505
2018-12-01,1053.84742
2019-01-01,1032.47166
2019-02-01,1014.53695
2019-03-01,1005.25219
2019-04-01,1014.17502
2019-05-01,1028.66713
2019-06-01,1030.63793
2019-07-01,1041.23725
2019-08-01,1048.00144
2019-09-01,1044.06543
2019-10-01,1049.75939
2019-11-01,1058.86297
2019-12-01,1091.98896
2020-01-01,1065.65789
2020-02-01,1050.41097
2020-03-01,1022.01589
2020-04-01,967.28197
2020-05-01,954.22952
2020-06-01,952.70132
2020-07-01,950.14504
2020-08-01,945.7926
2020-09-01,943.79384
2020-10-01,941.94627
2020-11-01,955.1983
2020-12-01,974.59444
2021-01-01,940.10671
2021-02-01,922.95845
2021-03-01,911.15636
2021-04-01,913.53064
2021-05-01,934.15556
2021-06-01,964.81682
2021-07-01,969.93605
2021-08-01,978.8835
2021-09-01,984.44903
2021-10-01,994.44455
2021-11-01,1027.93366
2021-12-01,1053.52379
2022-01-01,1029.61409
2022-02-01,1021.22845
2022-03-01,1035.6756
2022-04-01,1051.73217
2022-05-01,1073.00734
2022-06-01,1098.45114
2022-07-01,1109.36686
2022-08-01,1129.24904
2022-09-01,1133.1221
2022-10-01,1146.5149
2022-11-01,1184.15065
2022-12-01,1212.59987
2023-01-01,1187.1547
2023-02-01,1171.85938
2023-03-01,1178.90584
2023-04-01,1194.08433
2023-05-01,1213.64781
2023-06-01,1224.22095
2023-07-01,1233.9241
2023-08-01,1254.17542
2023-09-01,1253.84705
2023-10-01,1258.63352
2023-11-01,1298.99803
2023-12-01,1318.81324
2024-01-01,1294.31292
2024-02-01,1284.85226
2024-03-01,1278.59574
2024-04-01,1282.88137
2024-05-01,1302.96194
2024-06-01,1305.78141
2024-07-01,1315.62664
2024-08-01,1322.53738
2024-09-01,1317.09413
2024-10-01,1333.11548
